id,annotator,start,end,category,class,
0,SYSTEM,0,3378,,,
TXT_IMPORTER_1620717788127,TXT_IMPORTER,0,15,title,unit,
TXT_IMPORTER_1620717788128,TXT_IMPORTER,15,29,subTitle,unit,
TXT_IMPORTER_1620717788129,TXT_IMPORTER,29,76,paragraph,unit,
TXT_IMPORTER_1620717788130,TXT_IMPORTER,76,113,paragraph,unit,
TXT_IMPORTER_1620717788131,TXT_IMPORTER,113,155,paragraph,unit,
TXT_IMPORTER_1620717788132,TXT_IMPORTER,155,207,paragraph,unit,
TXT_IMPORTER_1620717788133,TXT_IMPORTER,207,260,paragraph,unit,
TXT_IMPORTER_1620717788134,TXT_IMPORTER,260,298,paragraph,unit,
TXT_IMPORTER_1620717788135,TXT_IMPORTER,298,341,paragraph,unit,
TXT_IMPORTER_1620717788136,TXT_IMPORTER,341,378,paragraph,unit,
TXT_IMPORTER_1620717788137,TXT_IMPORTER,378,425,paragraph,unit,
TXT_IMPORTER_1620717788138,TXT_IMPORTER,425,464,paragraph,unit,
TXT_IMPORTER_1620717788139,TXT_IMPORTER,464,511,paragraph,unit,
TXT_IMPORTER_1620717788140,TXT_IMPORTER,511,556,paragraph,unit,
TXT_IMPORTER_1620717788141,TXT_IMPORTER,556,597,paragraph,unit,
TXT_IMPORTER_1620717788142,TXT_IMPORTER,597,640,paragraph,unit,
TXT_IMPORTER_1620717788143,TXT_IMPORTER,640,682,paragraph,unit,
TXT_IMPORTER_1620717788144,TXT_IMPORTER,682,730,paragraph,unit,
TXT_IMPORTER_1620717788145,TXT_IMPORTER,730,768,paragraph,unit,
TXT_IMPORTER_1620717788146,TXT_IMPORTER,768,812,paragraph,unit,
TXT_IMPORTER_1620717788147,TXT_IMPORTER,812,851,paragraph,unit,
TXT_IMPORTER_1620717788148,TXT_IMPORTER,851,894,paragraph,unit,
TXT_IMPORTER_1620717788149,TXT_IMPORTER,894,940,paragraph,unit,
TXT_IMPORTER_1620717788150,TXT_IMPORTER,940,978,paragraph,unit,
TXT_IMPORTER_1620717788151,TXT_IMPORTER,978,1032,paragraph,unit,
TXT_IMPORTER_1620717788152,TXT_IMPORTER,1032,1074,paragraph,unit,
TXT_IMPORTER_1620717788153,TXT_IMPORTER,1074,1116,paragraph,unit,
TXT_IMPORTER_1620717788154,TXT_IMPORTER,1116,1163,paragraph,unit,
TXT_IMPORTER_1620717788155,TXT_IMPORTER,1163,1206,paragraph,unit,
TXT_IMPORTER_1620717788156,TXT_IMPORTER,1206,1253,paragraph,unit,
TXT_IMPORTER_1620717788157,TXT_IMPORTER,1253,1305,paragraph,unit,
TXT_IMPORTER_1620717788158,TXT_IMPORTER,1305,1348,paragraph,unit,
TXT_IMPORTER_1620717788159,TXT_IMPORTER,1348,1392,paragraph,unit,
TXT_IMPORTER_1620717788160,TXT_IMPORTER,1392,1433,paragraph,unit,
TXT_IMPORTER_1620717788161,TXT_IMPORTER,1433,1476,paragraph,unit,
TXT_IMPORTER_1620717788162,TXT_IMPORTER,1476,1524,paragraph,unit,
TXT_IMPORTER_1620717788163,TXT_IMPORTER,1524,1568,paragraph,unit,
TXT_IMPORTER_1620717788164,TXT_IMPORTER,1568,1619,paragraph,unit,
TXT_IMPORTER_1620717788165,TXT_IMPORTER,1619,1664,paragraph,unit,
TXT_IMPORTER_1620717788166,TXT_IMPORTER,1664,1712,paragraph,unit,
TXT_IMPORTER_1620717788167,TXT_IMPORTER,1712,1751,paragraph,unit,
TXT_IMPORTER_1620717788168,TXT_IMPORTER,1751,1792,paragraph,unit,
TXT_IMPORTER_1620717788169,TXT_IMPORTER,1792,1839,paragraph,unit,
TXT_IMPORTER_1620717788170,TXT_IMPORTER,1839,1878,paragraph,unit,
TXT_IMPORTER_1620717788171,TXT_IMPORTER,1878,1926,paragraph,unit,
TXT_IMPORTER_1620717788172,TXT_IMPORTER,1926,1964,paragraph,unit,
TXT_IMPORTER_1620717788173,TXT_IMPORTER,1964,2010,paragraph,unit,
TXT_IMPORTER_1620717788174,TXT_IMPORTER,2010,2053,paragraph,unit,
TXT_IMPORTER_1620717788175,TXT_IMPORTER,2053,2099,paragraph,unit,
TXT_IMPORTER_1620717788176,TXT_IMPORTER,2099,2144,paragraph,unit,
TXT_IMPORTER_1620717788177,TXT_IMPORTER,2144,2198,paragraph,unit,
TXT_IMPORTER_1620717788178,TXT_IMPORTER,2198,2242,paragraph,unit,
TXT_IMPORTER_1620717788179,TXT_IMPORTER,2242,2278,paragraph,unit,
TXT_IMPORTER_1620717788180,TXT_IMPORTER,2278,2322,paragraph,unit,
TXT_IMPORTER_1620717788181,TXT_IMPORTER,2322,2371,paragraph,unit,
TXT_IMPORTER_1620717788182,TXT_IMPORTER,2371,2407,paragraph,unit,
TXT_IMPORTER_1620717788183,TXT_IMPORTER,2407,2449,paragraph,unit,
TXT_IMPORTER_1620717788184,TXT_IMPORTER,2449,2492,paragraph,unit,
TXT_IMPORTER_1620717788185,TXT_IMPORTER,2492,2542,paragraph,unit,
TXT_IMPORTER_1620717788186,TXT_IMPORTER,2542,2579,paragraph,unit,
TXT_IMPORTER_1620717788187,TXT_IMPORTER,2579,2624,paragraph,unit,
TXT_IMPORTER_1620717788188,TXT_IMPORTER,2624,2668,paragraph,unit,
TXT_IMPORTER_1620717788189,TXT_IMPORTER,2668,2710,paragraph,unit,
TXT_IMPORTER_1620717788190,TXT_IMPORTER,2710,2757,paragraph,unit,
TXT_IMPORTER_1620717788191,TXT_IMPORTER,2757,2797,paragraph,unit,
TXT_IMPORTER_1620717788192,TXT_IMPORTER,2797,2837,paragraph,unit,
TXT_IMPORTER_1620717788193,TXT_IMPORTER,2837,2882,paragraph,unit,
TXT_IMPORTER_1620717788194,TXT_IMPORTER,2882,2927,paragraph,unit,
TXT_IMPORTER_1620717788195,TXT_IMPORTER,2927,2974,paragraph,unit,
TXT_IMPORTER_1620717788196,TXT_IMPORTER,2974,3017,paragraph,unit,
TXT_IMPORTER_1620717788197,TXT_IMPORTER,3017,3061,paragraph,unit,
TXT_IMPORTER_1620717788198,TXT_IMPORTER,3061,3103,paragraph,unit,
TXT_IMPORTER_1620717788199,TXT_IMPORTER,3103,3151,paragraph,unit,
TXT_IMPORTER_1620717788200,TXT_IMPORTER,3151,3191,paragraph,unit,
TXT_IMPORTER_1620717788201,TXT_IMPORTER,3191,3231,paragraph,unit,
TXT_IMPORTER_1620717788202,TXT_IMPORTER,3231,3274,paragraph,unit,
TXT_IMPORTER_1620717788203,TXT_IMPORTER,3274,3328,paragraph,unit,
TXT_IMPORTER_1620717788204,TXT_IMPORTER,3328,3378,paragraph,unit,
awidloch_1620718297498,awidloch,1792,1964,Structure : Strophe,unit,
awidloch_1620718305504,awidloch,1964,2144,Structure : Strophe,unit,
awidloch_1620718307880,awidloch,2144,2322,Structure : Strophe,unit,
awidloch_1620718310358,awidloch,2322,2492,Structure : Strophe,unit,
awidloch_1620718320865,awidloch,2492,2668,Structure : Strophe,unit,
awidloch_1620718323031,awidloch,2668,2837,Structure : Strophe,unit,
awidloch_1620718325447,awidloch,2837,3017,Structure : Strophe,unit,
awidloch_1620718333841,awidloch,3017,3191,Structure : Strophe,unit,
awidloch_1620718337782,awidloch,3191,3378,Structure : Strophe,unit,
arousseau_1641314464997,arousseau,85,93,Syntaxe : Verbe,unit,
arousseau_1641314473340,arousseau,155,161,Syntaxe : Verbe,unit,
arousseau_1641314482453,arousseau,274,281,Syntaxe : Verbe,unit,
arousseau_1641314741292,arousseau,306,310,Syntaxe : Verbe,unit,
arousseau_1641314744806,arousseau,355,362,Syntaxe : Verbe,unit,
arousseau_1641314750576,arousseau,389,401,Syntaxe : Verbe,unit,
arousseau_1641314844809,arousseau,559,564,Syntaxe : Verbe,unit,
arousseau_1641314848244,arousseau,588,597,Syntaxe : Verbe,unit,
arousseau_1641314854010,arousseau,646,653,Syntaxe : Verbe,unit,
arousseau_1641314857550,arousseau,691,697,Syntaxe : Verbe,unit,
arousseau_1641314860501,arousseau,735,741,Syntaxe : Verbe,unit,
arousseau_1641314874715,arousseau,822,829,Syntaxe : Verbe,unit,
arousseau_1641314881512,arousseau,959,967,Syntaxe : Verbe,unit,
arousseau_1641314970653,arousseau,1000,1004,Syntaxe : Verbe,unit,
arousseau_1641314989626,arousseau,477,481,Syntaxe : Verbe,unit,
arousseau_1641315393875,arousseau,1027,1032,Syntaxe : Verbe,unit,
arousseau_1641315405701,arousseau,1032,1040,Syntaxe : Verbe,unit,
arousseau_1641315417042,arousseau,1077,1081,Syntaxe : Verbe,unit,
arousseau_1641315419943,arousseau,1096,1101,Syntaxe : Verbe,unit,
arousseau_1641315421830,arousseau,1119,1127,Syntaxe : Verbe,unit,
arousseau_1641315428526,arousseau,1128,1139,Syntaxe : Verbe,unit,
arousseau_1641315432422,arousseau,1182,1186,Syntaxe : Verbe,unit,
arousseau_1641315436139,arousseau,1206,1212,Syntaxe : Verbe,unit,
arousseau_1641315442539,arousseau,1269,1273,Syntaxe : Verbe,unit,
arousseau_1641315444425,arousseau,1280,1291,Syntaxe : Verbe,unit,
